datetime,open,high,low,close,volume
17-08-2017 09:30,4261.48,4280.56,4261.48,4261.48,2.189061
17-08-2017 09:45,4261.48,4270.41,4261.32,4261.45,9.119865
17-08-2017 10:00,4280,4310.07,4267.99,4310.07,21.923552
17-08-2017 10:15,4310.07,4313.62,4291.37,4308.83,13.948531
17-08-2017 10:30,4308.83,4328.69,4304.31,4304.31,5.101153
17-08-2017 10:45,4320,4320,4312.14,4320,15.947495
17-08-2017 11:00,4320,4320,4291.37,4291.37,2.155453
17-08-2017 11:15,4297.04,4315.32,4297.04,4315.32,0.030815
17-08-2017 11:30,4330.29,4330.29,4318.39,4330,0.065364
17-08-2017 11:45,4309.37,4330.29,4309.37,4311.02,3.500913
17-08-2017 12:00,4328.65,4345.45,4319.83,4345.45,3.494176
17-08-2017 12:15,4345.45,4345.45,4324.35,4324.35,0.169238
17-08-2017 12:30,4316.62,4316.62,4316.62,4316.62,0.001541
17-08-2017 12:45,4291.38,4291.38,4291.38,4291.38,0.038918
17-08-2017 13:00,4291.39,4300,4291.39,4300,0.718901
17-08-2017 13:15,4287.41,4349.99,4287.41,4349.99,3.683889
17-08-2017 13:30,4333.32,4377.85,4333.32,4360.71,0.766417
17-08-2017 13:45,4360.71,4360.71,4360.7,4360.7,0.075843
17-08-2017 14:00,4360.7,4360.7,4360,4360.69,0.099262
17-08-2017 14:15,4360.7,4360.7,4360.69,4360.69,0.031285
17-08-2017 14:30,4360,4360,4360,4360,0.006296
17-08-2017 14:45,4360,4360,4360,4360,2.288705
17-08-2017 15:00,4360,4445.78,4360,4436.51,8.4108
17-08-2017 15:15,4444,4444,4444,4444,0.057822
17-08-2017 15:30,4441.1,4441.1,4399.81,4400,4.65968
17-08-2017 15:45,4400,4443,4400,4440,0.614651
17-08-2017 16:00,4400,4419,4400,4415,2.078235
17-08-2017 16:15,4419,4470,4419,4460,17.512833
17-08-2017 16:30,4460,4474.8,4454.72,4474.8,16.084544
17-08-2017 16:45,4474.8,4485.39,4465.06,4485.39,8.844785
17-08-2017 17:00,4485.39,4485.39,4459.96,4469.93,0.583082
17-08-2017 17:15,4469.93,4469.93,4427.3,4427.3,1.505642
17-08-2017 17:30,4436.06,4449.56,4436.06,4441.87,11.174158
17-08-2017 17:45,4441.87,4441.87,4418.12,4418.12,9.921389
17-08-2017 18:00,4417,4431.13,4411.01,4431.13,1.089877
17-08-2017 18:15,4430,4431.13,4411,4411,0.846974
